Sample_ID	Prodigal_CDS	GLIMMER_CDS	Prodigal_Time(s)	GLIMMER_Time(s)	Barrnap_Time(s)	RNAmmer_Time(s)	eggNOG_Total	eggNOG_COG	eggNOG_KEGG	eggNOG_GO	eggNOG_PFAM	eggNOG_EC
B0967031ef_S01_L001.filtered	1709	1939	3.74	3.64	0.92	36.10	1634	1531	1253	790	1510	646
B0ea046ea6_S01_L001.filtered	1780	2034	2.32	2.83	0.89	36.79	1707	1596	1299	818	1574	673
B1b3770342_S01_L001.filtered	1749	2018	2.35	2.81	0.92	38.36	1686	1580	1297	818	1558	674
B2242c42d4_S01_L001.filtered	1768	1999	2.33	2.87	0.92	36.65	1700	1595	1310	827	1573	681
B241d969ef_S01_L001.filtered	1772	2018	2.37	2.9	0.92	37.07	1708	1595	1299	818	1572	675
B31d4d18f7_S01_L001.filtered	1760	2038	2.36	2.93	0.92	37.01	1695	1590	1309	830	1569	681
B35fb22491_S01_L001.filtered	1789	2031	2.35	2.96	0.92	38.45	1719	1608	1306	827	1585	681
B38aaa7ac0_S01_L001.filtered	1766	2007	2.36	2.81	0.92	37.44	1699	1593	1310	829	1571	681
B4e58a05f2_S01_L001.filtered	1765	2079	2.35	2.85	0.94	37.94	1702	1593	1304	806	1570	703
B4eaad47ce_S01_L001.filtered	1762	2003	2.33	2.94	0.95	37.30	1695	1590	1307	827	1569	681
B4f0b91e7d_S01_L001.filtered	1723	1940	2.27	2.77	0.92	36.72	1648	1548	1277	811	1527	661
B53cfe4dfd_S01_L001.filtered	1747	1986	2.31	2.83	0.93	37.53	1681	1577	1295	816	1555	672
B5bcdf879c_S01_L001.filtered	1766	2064	2.36	2.84	0.90	36.51	1703	1591	1292	817	1566	673
B5ffad96f7_S01_L001.filtered	1696	1929	2.24	2.71	0.93	37.47	1632	1533	1263	804	1511	655
B6a834764c_S01_L001.filtered	1763	2021	2.36	2.83	0.92	37.66	1698	1593	1311	830	1571	683
B87ca590a8_S01_L001.filtered	1753	2021	2.31	2.87	0.92	37.45	1681	1576	1296	819	1554	674
B96bf781ec_S01_L001.filtered	1727	2012	2.34	2.77	0.94	36.86	1671	1560	1261	769	1538	678
B993d6df3d_S01_L001.filtered	1739	2000	2.3	2.79	0.95	37.17	1666	1561	1281	790	1541	684
B993fbdfde_S01_L001.filtered	1756	2010	2.36	2.83	0.93	36.64	1693	1592	1308	827	1570	679
B9c3d9d3f2_S01_L001.filtered	1746	2034	2.32	2.81	0.94	37.04	1686	1579	1299	818	1557	675
B9da8cd3f0_S01_L001.filtered	1795	2047	2.45	2.87	0.93	38.63	1722	1610	1310	827	1587	680
Ba5ab9b866_S01_L001.filtered	1780	2057	2.37	2.85	0.93	38.20	1717	1609	1308	828	1586	679
Bb0e8101d1_S01_L001.filtered	1777	2072	2.36	2.84	0.93	39.00	1710	1599	1300	819	1574	675
Bd8b870d47_S01_L001.filtered	1742	1972	2.32	2.94	0.93	37.47	1677	1576	1295	818	1554	673
Bde9b0c3d0_S01_L001.filtered	1752	2006	2.32	2.88	0.92	36.37	1689	1583	1302	820	1561	675
Be087298df_S01_L001.filtered	1718	1926	2.3	2.77	0.95	37.77	1650	1549	1277	810	1527	662
Bea3b88bb9_S01_L001.filtered	1782	2047	2.35	3.02	0.94	36.70	1715	1604	1306	829	1581	682
Befe9cbdb1_S01_L001.filtered	1785	2030	2.38	2.88	0.93	38.19	1714	1603	1302	819	1578	676
Bf50c4317a_S01_L001.filtered	1761	2019	2.31	2.95	0.90	36.91	1699	1593	1311	827	1571	680
Bf8801cc4d_S01_L001.filtered	1792	2057	2.41	2.89	0.94	37.59	1721	1609	1308	828	1586	679
Bfa71058c4_S01_L001.filtered	1787	2069	2.37	2.89	0.93	36.10	1719	1607	1310	827	1584	680
Bfbe77451d_S01_L001.filtered	1774	2012	2.36	2.83	0.93	37.43	1698	1593	1311	827	1571	681
Bfe6f82f31_S01_L001_filtered	1751	2015	2.32	2.79	0.96	38.36						
Bfffa3f3c0_S01_L001_filtered	1762	2008	2.35	2.86								
